소재지,노선명,도로 유형,합계 길이
인천광역시 남동구,소래역남로 1R,겸용도로(분리형),0.5
인천광역시 남동구,소래역남로 1L,겸용도로(분리형),0.5
인천광역시 남동구,아암대로1,전용도로,1.51
인천광역시 남동구,아암대로2,겸용도로(비분리형),1
인천광역시 남동구,아암대로1437번길 1R,전용도로,0.34
인천광역시 남동구,아암대로1437번길 1L,전용도로,0.34
인천광역시 남동구,청능대로 남동대교 1R,겸용도로(분리형),0.19
인천광역시 남동구,청능대로 남동대교 1L,겸용도로(분리형),0.19
인천광역시 남동구,청능대로 1R,전용도로,2.55
인천광역시 남동구,청능대로 1R,전용도로,2.55
인천광역시 남동구,청능대로 2R,겸용도로(분리형),2.63
인천광역시 남동구,청능대로 2L,겸용도로(분리형),2.63
인천광역시 남동구,소래역로 1R,겸용도로(분리형),1.34
인천광역시 남동구,소래역로 1L,겸용도로(분리형),1.34
인천광역시 남동구,은봉로 1R,겸용도로(분리형),2.2
인천광역시 남동구,은봉로 1L,겸용도로(분리형),2.2
인천광역시 남동구,은봉로 2R,겸용도로(분리형),1.1
인천광역시 남동구,은봉로 2L,겸용도로(분리형),1.1
인천광역시 남동구,포구로 1R,겸용도로(분리형),0.43
인천광역시 남동구,포구로 1L,겸용도로(분리형),0.43
인천광역시 남동구,앵고개로 1L,전용도로,3.12
인천광역시 남동구,앵고개로 2R,전용도로,1.93
인천광역시 남동구,앵고개로 2L,전용도로,1.93
인천광역시 남동구,앵고개로 3R,겸용도로(분리형),0.25
인천광역시 남동구,앵고개로 3L,겸용도로(분리형),0.25
인천광역시 남동구,매소홀로 1L,겸용도로(분리형),0.17
인천광역시 남동구,매소홀로 2L,겸용도로(분리형),0.29
인천광역시 남동구,매소홀로 3R,겸용도로(분리형),0.55
인천광역시 남동구,매소홀로 3L,겸용도로(분리형),0.55
인천광역시 남동구,매소홀로 4R,겸용도로(분리형),0.27
인천광역시 남동구,매소홀로 4L,겸용도로(분리형),0.27
인천광역시 남동구,매소홀로 5R,겸용도로(분리형),1.69
인천광역시 남동구,매소홀로 5L,겸용도로(분리형),1.69
인천광역시 남동구,매소홀로 6R,전용도로,0.16
인천광역시 남동구,비류대로 1R,겸용도로(분리형),0.58
인천광역시 남동구,비류대로 2R,겸용도로(분리형),0.58
인천광역시 남동구,논현로 1R,겸용도로(분리형),0.97
인천광역시 남동구,논현로 2R,겸용도로(분리형),0.53
인천광역시 남동구,함박뫼로 1R,겸용도로(분리형),0.26
인천광역시 남동구,함박뫼로 2L,겸용도로(분리형),0.26
인천광역시 남동구,정각로 1R,전용도로,0.55
인천광역시 남동구,정각로 2R,전용도로,0.55
인천광역시 남동구,백범로 1R,겸용도로(분리형),1.23
인천광역시 남동구,백범로 1L,겸용도로(분리형),0.63
인천광역시 남동구,백범로 2R,겸용도로(분리형),1.41
인천광역시 남동구,백범로 2L,겸용도로(분리형),1.37
인천광역시 남동구,백범로 3R,겸용도로(분리형),0.22
인천광역시 남동구,백범로 4R,겸용도로(비분리형),0.23
인천광역시 남동구,백범로 4L,겸용도로(분리형),0.16
인천광역시 남동구,문화로 1R,겸용도로(분리형),0.33
인천광역시 남동구,문화로 1L,겸용도로(분리형),0.33
인천광역시 남동구,문화로 2R,겸용도로(분리형),0.04
인천광역시 남동구,문화로 2L,겸용도로(분리형),0.64
인천광역시 남동구,경인로 1L,겸용도로(분리형),0.28
인천광역시 남동구,경인로 2R,겸용도로(분리형),0.37
인천광역시 남동구,경인로 2L,겸용도로(분리형),0.27
인천광역시 남동구,경인로 3R,겸용도로(분리형),0.76
인천광역시 남동구,인주대로 1R,겸용도로(분리형),0.12
인천광역시 남동구,인주대로 1L,겸용도로(분리형),0.12
인천광역시 남동구,인주대로 2R,겸용도로(분리형),0.1
인천광역시 남동구,인주대로 2L,겸용도로(분리형),0.1
인천광역시 남동구,인주대로 3R,전용도로,0.54
인천광역시 남동구,인주대로 3L,전용도로,0.54
인천광역시 남동구,인주대로 4R,겸용도로(분리형),2.3
인천광역시 남동구,인주대로 4L,겸용도로(분리형),2.3
인천광역시 남동구,인주대로 5R,겸용도로(분리형),0.61
인천광역시 남동구,수인로 1R,겸용도로(분리형),1.1
인천광역시 남동구,수인로 1L,겸용도로(분리형),1.2
인천광역시 남동구,수인로 2R,겸용도로(분리형),0.87
인천광역시 남동구,수인로 2L,겸용도로(분리형),0.45
인천광역시 남동구,만의골로 1R,겸용도로(분리형),1.71
인천광역시 남동구,장수천,겸용도로(분리형),2.15
인천광역시 남동구,논현고잔로 1R,전용도로,2
인천광역시 남동구,논현고잔로 2R,겸용도로(분리형),0.52
인천광역시 남동구,논현고잔로 1L,겸용도로(분리형),0.52
인천광역시 남동구,논현고잔로 2L,전용도로,2
인천광역시 남동구,예술로 1R,겸용도로(분리형),0.68
인천광역시 남동구,예술로 2R,겸용도로(분리형),1.2
인천광역시 남동구,예술로 1L,전용도로,0.56
인천광역시 남동구,논고개로 1R,겸용도로(분리형),0.53
인천광역시 남동구,논고개로 2R,전용도로,0.35
인천광역시 남동구,논고개로 3R,겸용도로(분리형),2
인천광역시 남동구,논고개로 4R,겸용도로(분리형),0.6
인천광역시 남동구,논고개로 1L,겸용도로(분리형),3.2
인천광역시 남동구,논고개로 2L,전용도로,0.35
인천광역시 남동구,논고개로 3L,겸용도로(분리형),0.53
인천광역시 남동구,구월남로 1R,겸용도로(분리형),0.94
인천광역시 남동구,소래로 1R,겸용도로(비분리형),2.82
인천광역시 남동구,소래로 2R,겸용도로(분리형),0.99
인천광역시 남동구,소래로 3R,겸용도로(분리형),1.85
