노선명,합계 길이,자전거 전용도로,자전거 보행자 겸용도로
인천광역시 연수구 송학둥지아파트,1.5,,1.5
인천광역시 연수구 청학사거리,1.2,1.2,
인천광역시 연수구 수리봉사거리,0.7,,0.7
인천광역시 연수구 인천여자고등학교,0.9,0.2,0.7
인천광역시 연수구 선학파출소,0.9,0.2,0.7
인천광역시 연수구 인천여자고등학교,2.3,,2.3
인천광역시 연수구 옹암사거리,1.3,0.8,0.5
인천광역시 연수구 송도3교,2.5,2.5,
인천광역시 연수구 연수새마을금고,1.1,,1.1
인천광역시 연수구 벽산2차아파트,1.1,,1.1
인천광역시 연수구 능허대공원교차로,0.7,,0.7
인천광역시 연수구 옥련사거리,0.7,,0.7
인천광역시 연수구 능허대공원교차로,1.2,,1.2
인천광역시 연수구 송도초교삼거리,1.2,,1.2
인천광역시 연수구 청학사거리,0.6,,0.6
인천광역시 연수구 서해아파트,0.5,,0.5
인천광역시 연수구 연수역남부 공영주차장,0.3,,0.3
인천광역시 연수구 연수역,0.6,,
인천광역시 연수구 연화사거리,0.3,,0.3
인천광역시 연수구 청학중삼거리,1.5,,1.5
인천광역시 연수구 연수사거리,1.5,,1.5
인천광역시 연수구 송도3교,0.7,0.7,
인천광역시 연수구 sk금천주유소,2.2,2.2,
인천광역시 연수구 동춘역사거리,2.2,2,0.2
인천광역시 연수구 알뜰송도비취주유소,0.7,0.6,0.1
인천광역시 연수구 동막역사거리,0.6,0.6,
인천광역시 연수구 대건고등학교,0.6,0.6,
인천광역시 연수구 구석말삼거리,2.3,2.2,0.1
인천광역시 연수구 연수역,2.3,2.2,0.1
인천광역시 연수구 흥광장로교회,3.5,3.5,
인천광역시 연수구 길마산사거리,3.5,3.5,
인천광역시 연수구 신연수역,0.2,,0.2
인천광역시 연수구 외암도사거리,4.4,,4.4
인천광역시 연수구 선학역사거리,1.6,,1.6
인천광역시 연수구 문학경기장사거리,1.4,0.3,1.1
인천광역시 연수구 선학역사거리,4.4,,4.4
인천광역시 연수구 문학경기장정문사거리,0.6,0.6,
인천광역시 연수구 문학경기장정문교차로,0.5,,0.5
인천광역시 연수구 교통공원사거리,0.5,0.5,
인천광역시 연수구 문학경기장사거리,0.9,0.9,
인천광역시 연수구 캠퍼스타운역 인근,2.9,,2.9
인천광역시 연수구 솔찬공원,3,3,
인천광역시 연수구 송도2교 끝단,1,,1
인천광역시 연수구 센트럴공원,0.8,0.8,
인천광역시 연수구 송도동103-1,1.7,,1.7
인천광역시 연수구 인천대학교,0.8,,0.8
인천광역시 연수구 송도동10-39,2.2,,2.2
인천광역시 연수구 송도IBS타워,0.8,,0.8
인천광역시 연수구 송도3교 끝단,0.3,0.3,
인천광역시 연수구 더샵엑스포6단지,1.3,,1.3
인천광역시 연수구 센트럴파크 푸르지오시티,0.3,0.3,
인천광역시 연수구 송도2동주민센터 부근,0.8,0.8,
인천광역시 연수구 플러스원프라자,1.7,,1.7
인천광역시 연수구 캠퍼스타운역 인근,1.7,,1.7
인천광역시 연수구 송도동17-5,1.8,1.8,
인천광역시 연수구 커넬워크 가을동,0.8,0.8,
인천광역시 연수구 혜인프라자,0.3,,0.3
인천광역시 연수구 해양경찰청,1.4,1.4,
인천광역시 연수구 해돋이공원,1,1,
인천광역시 연수구 더샵퍼스트월드 6동,0.7,,0.7
인천광역시 연수구 더샵하버뷰208동,0.8,0.8,
인천광역시 연수구 커낼워크 봄동,2.5,2.5,
인천광역시 연수구 해돋이공원,2.6,2.6,
인천광역시 연수구 송도동24-10,0.5,,0.5
인천광역시 연수구 한옥마을,0.6,0.6,
인천광역시 연수구 롯데마트,1.4,,1.4
인천광역시 연수구 미추홀공원,2,,2
인천광역시 연수구 송도동30-1,4,4,
인천광역시 연수구 송도동9-32,4,4,
인천광역시 연수구 가톨릭대학교,0.5,0.5,
인천광역시 연수구 가톨릭대학교,0.5,0.5,
인천광역시 연수구 웰카운티218동,0.3,,0.3
인천광역시 연수구 웰카운티212동,0.3,,0.3
인천광역시 연수구 송도동115-4,0.4,,0.4
인천광역시 연수구 셀트리온1공장,1.5,1.5,
인천광역시 연수구 잭니클라우스 골프장,1.2,,1.2
인천광역시 연수구 풍림아이원213동,3.2,,3.2
인천광역시 연수구 남측유수지,3.2,,3.2
인천광역시 연수구 현대백화점아울렛,1.6,1.6,
인천광역시 연수구 송도동165,1.6,1.6,
인천광역시 연수구 홈플러스,1.5,1.5,
인천광역시 연수구 더샵그린스퀘어101동,1.3,,1.3
인천광역시 연수구 송도동197-1,1.3,,1.3
인천광역시 연수구 송도동203-1,1.6,1.6,
인천광역시 연수구 삼성바이오에피스,1.6,1.6,
인천광역시 연수구 송도동213-1,1.6,1.6,
인천광역시 연수구 송도동212-3,1.6,1.6,
인천광역시 연수구 송도동221-2,1.6,1.6,
인천광역시 연수구 송도동220,1.6,1.6,
인천광역시 연수구 송도동16-1,1.1,,1.1
인천광역시 연수구 더프라우102동,1.1,,
인천광역시 연수구 커낼워크 가을동,0.8,,0.8
인천광역시 연수구 더샵하버뷰1306동,0.8,,0.8
인천광역시 연수구 커낼워크 봄동,1.1,,1.1
인천광역시 연수구 푸르지오월드마크801동,1.1,,1.1
인천광역시 연수구 캠퍼스타운103동,0.8,,0.8
인천광역시 연수구 송도동159-1,0.8,,0.8
인천광역시 연수구 송도동166,0.8,,0.8
인천광역시 연수구 롯데캐슬아파트102동,0.8,,0.8
인천광역시 연수구 송도동171,0.6,,0.6
인천광역시 연수구 송도동168-1,0.6,,0.6
인천광역시 연수구 송도동185-1,0.6,,0.6
인천광역시 연수구 송도동172-4,0.6,,0.6
인천광역시 연수구 더샵그린스퀘어105동,1,,1
인천광역시 연수구 송도누리공원,1,,1
인천광역시 연수구 송도동187,0.7,0.7,
인천광역시 연수구 송도동180,0.7,0.7,
인천광역시 연수구 송도동201-2,1,,1
인천광역시 연수구 송도동193-1,1,,1
인천광역시 연수구 BRC스마트밸리 지식산업센터,0.6,,0.6
인천광역시 연수구 송도동203-5,0.6,,0.6
인천광역시 연수구 송도동217-1,0.8,,0.8
인천광역시 연수구 송도동205,0.8,,0.8
인천광역시 연수구 송도동220,0.5,,0.5
인천광역시 연수구 송도동209-2,0.5,,0.5
인천광역시 연수구 송도동178-1,0.5,,0.5
인천광역시 연수구 송도동169,0.5,,0.5
인천광역시 연수구 송도동13-8,0.8,,0.8
인천광역시 연수구 송도동13-8,0.8,,0.8
