,,,,,,,,,,,,,,,,,,,,
자전거대여소명,자전거대여소구분,소재지도로명주소,소재지지번주소,위도,경도,운영시작시각,운영종료시각,휴무일,요금구분,자전거이용요금,자전거보유대수,거치대수,공기주입기비치여부,공기주입기유형,수리대설치여부,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
신탄리 자전거 대여소,유인대여소,경기도 연천군 신서면 고대산길 4,경기도 연천군 신서면 대광리 169-2,38.2128035139,127.1389754388,10:00,17:30,"월, 화",유료,"시간당 3,000원/하루 대여 10,000원",34,34,Y,기계식,N,000-0000-0000,신탄리 자전거 대여소,2019-09-24,4140000,경기도 연천군
보라매,유인대여소,서울특별시 동작구 신대방2길14,서울특별시 동작구 신대방동640,37.488148,126.913752,10:00,17:30,"명절,선거일,우천",무료,무료,60,60,Y,수동식,N,02-845-5885,동작구청,2019-05-28,3190000,서울특별시 동작구
흑석,유인대여소,서울특별시 동작구 현충로124,서울특별시 동작구 흑석동1-15,37.509396,126.963695,10:00,17:30,"명절,선거일,우천",무료,무료,60,60,Y,수동식,N,02-814-5885,동작구청,2019-05-28,3190000,서울특별시 동작구
충주시청,유인대여소,충청북도 충주시 으뜸로 21,충청북도 충주시 금릉동 700,36.9910387,127.9259553,09:00,18:00,주말 및 공휴일,무료,무료,23,1,N,,N,043-850-6243,충주시청,2020-06-30,4390000,충청북도 충주시
주덕읍사무소,유인대여소,충청북도 충주시 주덕읍 신덕로 1359,충청북도 충주시 주덕읍 신양리 206,36.97564519,127.7956488,09:00,18:00,주말 및 공휴일,무료,무료,2,1,N,,N,043-850-2301,주덕읍사무소,2020-06-30,4390000,충청북도 충주시
살미면사무소,유인대여소,충청북도 충주시 살미면 세성양지말길 41,충청북도 충주시 살미면 세성리 333-1,36.90536484,127.9646242,09:00,18:00,주말 및 공휴일,무료,무료,3,1,N,,N,043-850-2312,살미면사무소,2020-06-30,4390000,충청북도 충주시
수안보면사무소,유인대여소,충청북도 충주시 수안보면 관동길 9-9,충청북도 충주시 수안보면 온천리 100,36.84724742,127.9948068,09:00,18:00,주말 및 공휴일,무료,무료,3,1,N,,N,043-850-2323,수안보면사무소,2020-06-30,4390000,충청북도 충주시
대소원면사무소,유인대여소,충청북도 충주시 대소원면 대소원1길 29,충청북도 충주시 대소원면 대소리 241,36.97780452,127.8179984,09:00,18:00,주말 및 공휴일,무료,무료,3,1,N,,N,043-850-2332,대소원면사무소,2020-06-30,4390000,충청북도 충주시
신니면사무소,유인대여소,충청북도 충주시 신니면 신덕로 780,충청북도 충주시 신니면 용원리 35-1,36.995578,127.734194,09:00,18:00,주말 및 공휴일,무료,무료,3,1,N,,N,043-850-2343,신니면사무소,2020-06-30,4390000,충청북도 충주시
노은면사무소,유인대여소,충청북도 충주시 노은면 연하중앙길 15,충청북도 충주시 노은면 연하리 539-2,37.047955,127.751725,09:00,18:00,주말 및 공휴일,무료,무료,3,1,N,,N,043-850-2353,노은면사무소,2020-06-30,4390000,충청북도 충주시
