노선명,도로 유형,합계 길이
동일로,자전거및보행자겸용도로,1.5(3.0)
광나루로56길,자전거및보행자겸용도로,0.5(1.0)
아차산로70길,자전거및보행자겸용도로,0.5(1.0)
능동로,자전거및보행자겸용도로,1.4(2.8)
능동로,자전거및보행자겸용도로,1.2(2.4)
능동로,자전거및보행자겸용도로,0.85
능동로,자전거및보행자겸용도로,0.95
광나루로,자전거및보행자겸용도로,0.6
광나루로,자전거및보행자겸용도로,1
광나루로,자전거및보행자겸용도로,1.4
아차산로,자전거및보행자겸용도로,1.9(3.8)
아차산로,자전거및보행자겸용도로,1.2
아차산로,자전거및보행자겸용도로,0.85(1.7)
아차산로,자전거및보행자겸용도로,0.39
아차산로,자전거및보행자겸용도로,0.9
자양로,자전거및보행자겸용도로,0.7
자양로,자전거및보행자겸용도로,0.91(1.82)
자양로,자전거및보행자겸용도로,0.75(1.5)
천호대로,자전거및보행자겸용도로,2.8
천호대로,자전거및보행자겸용도로,3.1
구천면로,자전거및보행자겸용도로,0.4
긴고랑로,자전거및보행자겸용도로,0.52(1.04)
자양번영로,자전거및보행자겸용도로,0.95(1.9)
용마산로,자전거및보행자겸용도로,1.84(3.68)
뚝섬로,자전거및보행자겸용도로,0.9(1.8)
아차산로36길,자전거및보행자겸용도로,0.27
능동로10길,자전거및보행자겸용도로,0.36
강변역로,자전거및보행자겸용도로,0.2
중랑천,자전거전용도로,1.6
천호대로,자전거전용도로,0.2
천호대로,자전거전용차로,0.3
자양강변길,자전거우선도로,2.74
자양로13길,자전거우선도로,0.55(1.1)
뚝섬로52길,자전거우선도로,0.40(0.8)
